Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2007","2007","3050","FAO TIER 1","kilotonnes","2.451","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2007","2007","3050","FAO TIER 1","kilotonnes","94.5372","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2008","2008","3050","FAO TIER 1","tonnes","31796490","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2008","2008","3050","FAO TIER 1","kilotonnes","2.2258","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2008","2008","3050","FAO TIER 1","kilotonnes","85.8505","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2009","2009","3050","FAO TIER 1","tonnes","32168810","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2009","2009","3050","FAO TIER 1","kilotonnes","2.2518","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2009","2009","3050","FAO TIER 1","kilotonnes","86.8558","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2010","2010","3050","FAO TIER 1","tonnes","32960380","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2010","2010","3050","FAO TIER 1","kilotonnes","2.3072","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2010","2010","3050","FAO TIER 1","kilotonnes","88.993","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2011","2011","3050","FAO TIER 1","tonnes","33944990","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2011","2011","3050","FAO TIER 1","kilotonnes","2.3761","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2011","2011","3050","FAO TIER 1","kilotonnes","91.6515","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2012","2012","3050","FAO TIER 1","tonnes","35355740","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2012","2012","3050","FAO TIER 1","kilotonnes","2.4749","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2012","2012","3050","FAO TIER 1","kilotonnes","95.4605","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","2013","2013","3050","FAO TIER 1","tonnes","35390550","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","2013","2013","3050","FAO TIER 1","kilotonnes","2.4773","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","2013","2013","3050","FAO TIER 1","kilotonnes","95.5545","E","Estimated value",""
