Date,Site ID,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,STATE
2020-06-01,110010041,0.026,ppm,24,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-01,110010041,0.03,ppm,28,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-01,110010041,0.025,ppm,23,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-01,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-01,110010041,0.034,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-01,110010041,0.01,ppm,9,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-01,110010041,0.01,ppm,9,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-01-02,110010041,0.032,ppm,30,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-02,110010041,0.033,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-03-02,110010041,0.035,ppm,32,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-04-02,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-02,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-02,110010041,0.033,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-02,110010041,0.033,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-02,110010041,0.031,ppm,29,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-02,110010041,0.029,ppm,27,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-02,110010041,0.022,ppm,20,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-02,110010041,0.029,ppm,27,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-02,110010041,0.027,ppm,25,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-01-03,110010041,0.034,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-03,110010041,0.037,ppm,34,RIVER TERRACE,24,100,44201,Ozone,District Of Columbia
2020-03-03,110010041,0.037,ppm,34,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-04-03,110010041,0.037,ppm,34,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-03,110010041,0.037,ppm,34,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-03,110010041,0.038,ppm,35,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-03,110010041,0.04,ppm,37,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-03,110010041,0.039,ppm,36,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-03,110010041,0.043,ppm,40,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-03,110010041,0.05,ppm,46,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-03,110010041,0.051,ppm,47,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-03,110010041,0.04,ppm,37,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-01-04,110010041,0.032,ppm,30,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-04,110010041,0.041,ppm,38,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-03-04,110010041,0.042,ppm,39,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
